               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.066231,            0.047111,                   0,             0.83578,             0.53917,             0.60849,             0.28882,            0.061428,             0.04521,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.066235,            0.049964,                   0,             0.83479,             0.53916,             0.60509,             0.29732,            0.060758,            0.044558,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.064615,            0.046556,                   0,             0.82579,             0.53547,             0.59606,             0.28715,            0.061399,            0.045226,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.067471,            0.048235,                   0,             0.82747,             0.54426,              0.6122,             0.29553,            0.061348,            0.044873,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.066883,            0.051027,                   0,             0.82617,             0.53295,             0.59666,             0.28455,            0.061689,            0.045236,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,              0.0661,            0.048514,                   0,              0.8212,             0.55839,             0.61947,             0.29961,            0.060543,             0.04486,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.064931,            0.045909,                   0,             0.83343,             0.55349,             0.61915,             0.30685,            0.060084,            0.044727,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.064306,            0.047629,                   0,             0.82439,             0.55748,             0.62279,             0.30417,            0.060078,            0.045011,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.063812,            0.046894,                   0,              0.8369,             0.53964,             0.61245,             0.29604,            0.060928,            0.045478,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.064887,            0.047135,                   0,             0.83567,             0.55685,             0.62363,             0.30787,            0.059999,            0.044366,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.066775,            0.049969,                   0,             0.85188,              0.5462,             0.61677,             0.30164,            0.059932,            0.045456,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.066528,            0.046138,                   0,             0.83655,             0.55498,             0.62251,             0.30146,            0.060065,            0.044761,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.064991,            0.044542,                   0,             0.83163,              0.5455,             0.60788,             0.29446,            0.060541,            0.045393,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.066545,             0.05048,                   0,             0.84303,             0.55921,             0.62994,             0.31039,            0.059667,            0.044827,                   0,              0.0055,              0.0055,              0.0055
