               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.074217,            0.052828,                   0,             0.74714,             0.44676,             0.49252,             0.22121,             0.06945,             0.04912,                   0,           0.0087151,           0.0087151,           0.0087151
                  39,             0.07544,            0.052792,                   0,             0.77787,             0.43738,             0.48897,             0.22155,            0.069664,            0.050198,                   0,           0.0086485,           0.0086485,           0.0086485
                  40,            0.072931,            0.053812,                   0,             0.75772,             0.46067,             0.51536,             0.23041,            0.068234,            0.048349,                   0,           0.0085805,           0.0085805,           0.0085805
                  41,            0.074311,            0.051877,                   0,             0.78726,             0.45359,             0.51918,             0.23811,            0.068017,            0.047625,                   0,           0.0085111,           0.0085111,           0.0085111
                  42,            0.073539,            0.053632,                   0,             0.77534,             0.45609,             0.51479,             0.23616,            0.067941,            0.047586,                   0,           0.0084404,           0.0084404,           0.0084404
                  43,            0.074026,            0.053299,                   0,             0.75217,             0.45475,             0.51017,             0.23426,            0.067908,            0.048467,                   0,           0.0083684,           0.0083684,           0.0083684
                  44,            0.073917,            0.050435,                   0,             0.77731,             0.45495,             0.51984,             0.23219,            0.067949,            0.047906,                   0,           0.0082952,           0.0082952,           0.0082952
                  45,             0.07355,            0.051014,                   0,             0.76185,             0.45739,             0.51709,             0.23429,            0.067827,             0.04873,                   0,           0.0082207,           0.0082207,           0.0082207
                  46,            0.071684,             0.05081,                   0,             0.76286,             0.47179,             0.52655,             0.23527,            0.067573,            0.047562,                   0,            0.008145,            0.008145,            0.008145
                  47,            0.072164,            0.051052,                   0,              0.7864,             0.45703,             0.51731,             0.23515,            0.068269,            0.049379,                   0,           0.0080682,           0.0080682,           0.0080682
                  48,            0.075122,            0.053432,                   0,             0.76408,             0.44881,             0.50433,             0.22461,            0.070301,            0.049131,                   0,           0.0079903,           0.0079903,           0.0079903
                  49,            0.071796,             0.04936,                   0,             0.77176,             0.47242,             0.53043,             0.23785,             0.06724,            0.048115,                   0,           0.0079112,           0.0079112,           0.0079112
                  50,            0.072439,            0.050991,                   0,             0.76909,              0.4701,             0.52443,             0.23927,             0.06697,            0.047576,                   0,           0.0078311,           0.0078311,           0.0078311
                  51,            0.072811,            0.049822,                   0,             0.77308,             0.45748,             0.51359,             0.23542,            0.067816,            0.048664,                   0,             0.00775,             0.00775,             0.00775
                  52,            0.072504,            0.052287,                   0,             0.76924,              0.4747,             0.53019,               0.243,            0.066614,            0.047698,                   0,           0.0076679,           0.0076679,           0.0076679
                  53,            0.071827,            0.050816,                   0,             0.77747,             0.47417,             0.53036,             0.24452,            0.066176,            0.047514,                   0,           0.0075848,           0.0075848,           0.0075848
                  54,            0.073503,            0.052703,                   0,             0.77896,             0.46557,             0.52685,             0.24168,            0.066931,            0.047767,                   0,           0.0075009,           0.0075009,           0.0075009
                  55,             0.07147,            0.051091,                   0,             0.78369,             0.46787,             0.52902,             0.23832,            0.067698,            0.048114,                   0,            0.007416,            0.007416,            0.007416
                  56,            0.070413,            0.054753,                   0,             0.80123,              0.4618,             0.53405,             0.24515,            0.066727,            0.047812,                   0,           0.0073303,           0.0073303,           0.0073303
                  57,            0.071144,            0.051883,                   0,             0.77687,             0.46848,             0.52761,             0.24208,            0.067326,             0.04788,                   0,           0.0072438,           0.0072438,           0.0072438
                  58,            0.072358,              0.0533,                   0,             0.77812,             0.46651,             0.51947,             0.24072,            0.066977,            0.049024,                   0,           0.0071566,           0.0071566,           0.0071566
                  59,            0.069996,            0.054485,                   0,             0.79586,             0.46151,             0.53025,             0.24643,            0.066262,            0.047801,                   0,           0.0070686,           0.0070686,           0.0070686
                  60,            0.069653,            0.049332,                   0,             0.78778,             0.48165,              0.5396,             0.24784,            0.066579,            0.047012,                   0,           0.0069799,           0.0069799,           0.0069799
                  61,            0.071509,            0.049701,                   0,              0.7991,             0.46975,             0.53373,             0.24864,            0.066487,             0.04717,                   0,           0.0068906,           0.0068906,           0.0068906
                  62,            0.070538,             0.05345,                   0,             0.79034,             0.47359,             0.53643,             0.24409,            0.066443,            0.047327,                   0,           0.0068006,           0.0068006,           0.0068006
                  63,            0.071463,            0.050781,                   0,             0.78399,             0.48021,             0.54335,             0.24942,            0.066177,            0.047703,                   0,           0.0067101,           0.0067101,           0.0067101
                  64,            0.074387,            0.055851,                   0,             0.78215,              0.4793,             0.54044,             0.25208,            0.065823,            0.047526,                   0,           0.0066191,           0.0066191,           0.0066191
                  65,             0.06934,            0.050197,                   0,             0.78335,             0.47887,             0.53057,             0.24538,            0.066184,            0.047561,                   0,           0.0065276,           0.0065276,           0.0065276
                  66,            0.071714,            0.052354,                   0,             0.78754,             0.48261,              0.5427,             0.25235,            0.065481,            0.047179,                   0,           0.0064356,           0.0064356,           0.0064356
                  67,            0.072167,            0.050912,                   0,             0.78796,             0.48451,             0.54342,             0.25346,            0.065372,             0.04694,                   0,           0.0063432,           0.0063432,           0.0063432
                  68,            0.071141,            0.051411,                   0,             0.76569,             0.47208,             0.53081,             0.24631,            0.067164,            0.049459,                   0,           0.0062505,           0.0062505,           0.0062505
                  69,            0.071156,            0.052073,                   0,             0.78263,             0.47636,             0.53764,             0.25257,            0.065744,             0.04758,                   0,           0.0061574,           0.0061574,           0.0061574
                  70,            0.072341,            0.052203,                   0,             0.79739,             0.48099,             0.54528,             0.25207,            0.065804,            0.047611,                   0,            0.006064,            0.006064,            0.006064
                  71,            0.073026,            0.052959,                   0,             0.78611,             0.49211,             0.54951,              0.2578,            0.065044,            0.046544,                   0,           0.0059704,           0.0059704,           0.0059704
                  72,            0.071208,            0.049413,                   0,             0.76854,             0.49133,             0.54174,             0.25068,            0.065672,            0.049616,                   0,           0.0058766,           0.0058766,           0.0058766
                  73,            0.070483,            0.050653,                   0,              0.7822,             0.48923,             0.54668,               0.255,             0.06547,            0.046612,                   0,           0.0057826,           0.0057826,           0.0057826
                  74,            0.070244,            0.048358,                   0,             0.78891,             0.48516,              0.5479,             0.25836,            0.065125,            0.047113,                   0,           0.0056884,           0.0056884,           0.0056884
                  75,            0.070275,            0.051636,                   0,             0.78748,             0.48895,             0.54872,             0.25707,            0.065192,            0.046705,                   0,           0.0055942,           0.0055942,           0.0055942
                  76,            0.070865,             0.05196,                   0,             0.78943,             0.49204,             0.55301,             0.25803,            0.065449,            0.046812,                   0,              0.0055,              0.0055,              0.0055
                  77,            0.070289,            0.049683,                   0,              0.7883,             0.48208,             0.54321,              0.2522,             0.06533,            0.046694,                   0,           0.0054058,           0.0054058,           0.0054058
                  78,            0.070395,            0.050832,                   0,             0.77711,             0.49912,             0.55323,             0.26013,            0.064894,            0.047426,                   0,           0.0053116,           0.0053116,           0.0053116
                  79,            0.071566,            0.051226,                   0,             0.78508,             0.48098,             0.54078,             0.24957,            0.066104,            0.047417,                   0,           0.0052174,           0.0052174,           0.0052174
                  80,            0.070096,            0.053119,                   0,             0.78988,              0.4814,             0.54726,             0.25864,            0.065197,            0.047415,                   0,           0.0051234,           0.0051234,           0.0051234
                  81,            0.072166,            0.051591,                   0,             0.80215,             0.48679,             0.55173,              0.2583,            0.064822,            0.046853,                   0,           0.0050296,           0.0050296,           0.0050296
                  82,            0.069754,            0.052384,                   0,             0.79369,             0.48342,             0.55071,             0.25606,            0.065119,            0.047781,                   0,            0.004936,            0.004936,            0.004936
                  83,             0.07184,            0.049464,                   0,              0.7964,             0.48895,             0.55267,             0.25916,            0.064933,            0.046543,                   0,           0.0048426,           0.0048426,           0.0048426
                  84,            0.071189,             0.05124,                   0,             0.80239,             0.48261,             0.55085,             0.25961,            0.065116,            0.047254,                   0,           0.0047495,           0.0047495,           0.0047495
                  85,            0.071618,            0.053163,                   0,             0.79634,             0.49209,             0.55228,             0.25983,            0.064802,            0.046783,                   0,           0.0046568,           0.0046568,           0.0046568
                  86,            0.068821,            0.050155,                   0,             0.77507,              0.4958,              0.5525,             0.26194,            0.064946,            0.046949,                   0,           0.0045644,           0.0045644,           0.0045644
                  87,            0.071684,            0.051557,                   0,             0.78743,             0.49329,             0.55274,             0.26038,            0.064958,            0.046241,                   0,           0.0044724,           0.0044724,           0.0044724
                  88,            0.070034,            0.051208,                   0,             0.78067,             0.48794,             0.54555,             0.25334,            0.065749,            0.047371,                   0,           0.0043809,           0.0043809,           0.0043809
