               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13752,            0.040453,                   0,             0.18773,             0.17444,            0.089827,             0.01872,             0.12149,            0.070142,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11956,            0.043831,                   0,              0.3924,             0.26047,             0.25578,            0.078289,             0.10694,            0.046364,                   0,           0.0010098,           0.0010098,             0.09091
                   2,             0.11416,            0.044714,                   0,             0.39618,             0.34621,             0.28904,            0.088572,             0.10189,             0.04992,                   0,           0.0015187,           0.0015187,            0.086319
                   3,              0.1071,            0.050924,                   0,             0.58631,             0.41322,             0.40467,             0.12151,            0.096519,            0.049126,                   0,           0.0020259,           0.0020259,            0.081726
                   4,             0.10611,            0.049923,                   0,             0.59036,             0.40511,             0.38824,             0.11767,             0.10022,            0.044757,                   0,            0.002531,            0.002531,            0.077131
                   5,             0.10389,            0.052582,                   0,             0.60978,             0.42674,             0.46549,             0.16699,            0.095119,            0.047569,                   0,           0.0030331,           0.0030331,            0.072533
                   6,             0.10204,            0.048326,                   0,                0.79,             0.51009,             0.57017,             0.23512,            0.090372,            0.047977,                   0,           0.0035316,           0.0035316,            0.067932
                   7,             0.09801,            0.049152,                   0,             0.73184,             0.48812,             0.55134,             0.19363,            0.094031,             0.04825,                   0,           0.0040259,           0.0040259,            0.063326
                   8,             0.10053,            0.047712,                   0,             0.72876,             0.48991,             0.54473,             0.19806,            0.093107,            0.046283,                   0,           0.0045152,           0.0045152,            0.058715
                   9,            0.097147,            0.051052,                   0,             0.78205,             0.50516,             0.56436,             0.23798,            0.089293,            0.049289,                   0,           0.0049991,           0.0049991,            0.054099
                  10,            0.096227,            0.051469,                   0,             0.77995,             0.54421,             0.59244,             0.25365,            0.087256,            0.050762,                   0,           0.0054767,           0.0054767,            0.049477
                  11,            0.095918,            0.049412,                   0,             0.80261,              0.5179,             0.58546,             0.26255,            0.086186,            0.046747,                   0,           0.0059475,           0.0059475,            0.044847
                  12,            0.096545,            0.052101,                   0,             0.78427,             0.53584,             0.60476,             0.26932,            0.087633,            0.046961,                   0,           0.0064108,           0.0064108,            0.040211
                  13,            0.093875,            0.048133,                   0,             0.80273,             0.54704,             0.60996,             0.26792,            0.085748,             0.05006,                   0,           0.0068661,           0.0068661,            0.035566
                  14,            0.095757,            0.050525,                   0,             0.82805,             0.54934,             0.62006,             0.28894,            0.084995,            0.047827,                   0,           0.0073128,           0.0073128,            0.030913
                  15,            0.091796,            0.049759,                   0,             0.77192,             0.52381,             0.58048,             0.25232,            0.087197,            0.047556,                   0,           0.0077503,           0.0077503,             0.02625
