               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.069977,            0.049089,                   0,              0.7971,             0.49007,             0.54885,             0.25788,            0.064488,            0.046805,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,             0.06888,            0.051489,                   0,             0.80707,             0.50124,             0.56257,             0.26905,            0.063207,            0.045873,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.070119,            0.049527,                   0,             0.80313,             0.51125,             0.57236,             0.27587,            0.062825,            0.045648,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,             0.06839,             0.05191,                   0,             0.81763,             0.49118,             0.56567,             0.27104,            0.063582,             0.04713,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.068665,            0.049151,                   0,             0.79268,             0.50199,             0.56563,             0.26998,            0.063663,            0.046782,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.067891,            0.052714,                   0,             0.80456,             0.51573,              0.5741,             0.27987,            0.062395,             0.04563,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.067842,            0.047213,                   0,             0.79628,              0.5135,             0.57164,             0.27496,            0.062538,            0.045642,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.066536,            0.049896,                   0,             0.80571,             0.50485,             0.56479,             0.26962,            0.063005,            0.045767,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,             0.06661,            0.048978,                   0,             0.81677,             0.50602,             0.57268,             0.27792,            0.062526,            0.045568,                   0,            0.006204,            0.006204,            0.006204
                  47,            0.067854,            0.049392,                   0,             0.79796,              0.5184,             0.57426,             0.27856,            0.062476,            0.046217,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.068021,            0.051789,                   0,             0.80465,             0.51474,             0.57678,              0.2798,             0.06237,            0.045648,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.066769,             0.04817,                   0,             0.81672,             0.51273,             0.58157,             0.28154,            0.062187,            0.045874,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,            0.067542,            0.047584,                   0,             0.80839,             0.51563,             0.57734,             0.28083,            0.062229,            0.045713,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.067037,            0.051998,                   0,             0.81082,             0.52166,              0.5847,              0.2836,            0.062081,            0.045366,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.066791,            0.047982,                   0,             0.80317,             0.52788,             0.58767,              0.2855,            0.061819,            0.045219,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.066679,            0.047667,                   0,             0.80837,             0.52561,             0.58436,              0.2823,            0.061979,            0.045853,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.068043,            0.047734,                   0,             0.80475,             0.51575,              0.5794,             0.28155,            0.062346,             0.04578,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.067802,            0.048918,                   0,             0.80206,             0.52454,             0.58601,             0.28389,            0.061802,            0.046063,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.067318,            0.049565,                   0,             0.82615,             0.52111,               0.588,             0.28681,            0.061617,            0.045637,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.066119,            0.049261,                   0,             0.82756,             0.51562,             0.58366,             0.28382,            0.061809,            0.045014,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.066141,            0.048494,                   0,             0.79663,             0.51823,             0.57217,             0.27686,            0.062172,            0.045691,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.068061,            0.050314,                   0,             0.82203,             0.51941,             0.58627,             0.28826,            0.061523,            0.045534,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,              0.0668,            0.050323,                   0,             0.80942,             0.52315,             0.58591,             0.28472,            0.061749,            0.046207,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.066885,            0.049189,                   0,             0.81616,             0.51848,             0.58609,             0.28864,            0.061677,            0.046086,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.067594,            0.049735,                   0,             0.81177,             0.52884,             0.59194,             0.28782,            0.061517,            0.045496,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.066277,            0.048536,                   0,             0.80108,             0.53132,             0.59305,             0.29075,            0.061508,            0.045278,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.065174,            0.049773,                   0,             0.81634,             0.52644,             0.59104,             0.28812,            0.061365,             0.04508,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.066039,            0.049796,                   0,             0.81927,             0.52462,             0.58907,             0.28689,            0.061188,            0.045293,                   0,            0.003584,            0.003584,            0.003584
                  66,             0.06852,            0.051683,                   0,             0.81067,             0.52811,             0.58989,             0.28865,             0.06143,            0.045049,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.066573,            0.048398,                   0,              0.8087,              0.5337,             0.59343,             0.29062,            0.061171,            0.045128,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.065306,            0.047796,                   0,              0.8223,             0.52801,             0.59382,             0.29074,            0.060963,            0.044869,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.065595,            0.049651,                   0,             0.81632,             0.53554,             0.59891,             0.29562,            0.060854,            0.044543,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.065511,            0.049634,                   0,             0.82108,             0.52637,             0.59558,             0.29005,            0.061235,            0.045101,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.064108,             0.04653,                   0,             0.82316,             0.53383,              0.5992,             0.29312,             0.06097,            0.044841,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.064468,            0.047744,                   0,             0.82166,             0.52841,             0.59633,             0.29361,            0.060955,            0.045159,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.065996,             0.05273,                   0,             0.82286,             0.53377,             0.59939,             0.29521,            0.060802,            0.044518,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.064605,            0.049869,                   0,              0.8344,             0.52819,             0.59911,             0.29544,            0.060685,            0.044916,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.066971,            0.049846,                   0,             0.83406,             0.53225,             0.60545,             0.29788,            0.060546,             0.04524,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.069098,            0.049846,                   0,             0.81382,             0.53994,             0.60224,             0.29657,             0.06063,            0.044681,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.064999,            0.050992,                   0,             0.82551,             0.52932,             0.59811,             0.29515,            0.060656,            0.044664,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.066672,            0.048425,                   0,             0.81877,             0.53931,             0.60235,             0.29742,            0.060355,            0.044695,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,            0.065409,            0.048037,                   0,             0.81099,             0.53753,             0.59998,             0.29449,            0.060731,            0.044829,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.065925,            0.050465,                   0,             0.82254,             0.53033,             0.59569,             0.29354,            0.060827,            0.044965,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.066807,            0.047794,                   0,             0.82889,             0.53207,             0.60136,             0.29439,            0.060694,            0.044709,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.066735,            0.048966,                   0,             0.82487,             0.53911,              0.6046,             0.29878,            0.060301,            0.044679,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.065747,            0.048376,                   0,             0.82143,             0.53354,             0.60125,             0.29552,             0.06067,            0.044903,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.064984,            0.048647,                   0,             0.81809,             0.53883,             0.60223,             0.29711,            0.060425,            0.044447,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.063857,            0.046596,                   0,             0.82207,             0.53678,             0.60184,             0.29699,            0.060366,            0.044709,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.066165,            0.050619,                   0,             0.82408,             0.53654,             0.60369,             0.29655,            0.060471,            0.044448,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.066973,            0.048194,                   0,              0.8271,              0.5387,              0.6063,             0.30031,            0.060302,             0.04433,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.064756,            0.047341,                   0,             0.82869,             0.53908,             0.60569,             0.29883,             0.06018,            0.044601,                   0,           0.0013701,           0.0013701,           0.0013701
                  89,            0.065155,            0.047739,                   0,             0.81828,             0.54611,             0.60956,             0.29975,            0.060222,            0.044398,                   0,            0.001316,            0.001316,            0.001316
                  90,            0.062992,            0.046032,                   0,             0.81236,             0.54457,             0.60675,             0.29992,            0.060237,              0.0445,                   0,            0.001266,            0.001266,            0.001266
                  91,            0.065206,            0.049121,                   0,             0.82598,             0.54034,             0.60725,             0.29996,            0.060196,            0.044366,                   0,           0.0012202,           0.0012202,           0.0012202
                  92,            0.065406,            0.048584,                   0,             0.82844,             0.53964,             0.60951,             0.30154,            0.060083,            0.044458,                   0,           0.0011787,           0.0011787,           0.0011787
                  93,            0.065782,             0.04778,                   0,             0.82927,             0.53458,             0.60316,              0.2983,            0.060304,            0.044485,                   0,           0.0011414,           0.0011414,           0.0011414
                  94,            0.065007,            0.048319,                   0,             0.83267,             0.53723,             0.60701,             0.29971,            0.060175,            0.044393,                   0,           0.0011084,           0.0011084,           0.0011084
                  95,            0.063125,            0.046909,                   0,             0.82797,             0.54211,             0.60896,              0.3014,            0.060099,            0.044586,                   0,           0.0010797,           0.0010797,           0.0010797
                  96,            0.065702,            0.047326,                   0,             0.81205,             0.54608,             0.60808,             0.30033,            0.060145,            0.044308,                   0,           0.0010554,           0.0010554,           0.0010554
                  97,            0.065645,            0.049981,                   0,              0.8053,             0.55068,             0.60795,             0.29938,            0.060177,            0.044536,                   0,           0.0010355,           0.0010355,           0.0010355
                  98,             0.06485,            0.049884,                   0,             0.82799,             0.54095,             0.60672,             0.30045,            0.060026,             0.04457,                   0,             0.00102,             0.00102,             0.00102
                  99,            0.065005,            0.048148,                   0,             0.82162,             0.54454,             0.60886,             0.30151,            0.060071,            0.044333,                   0,           0.0010089,           0.0010089,           0.0010089
